Q1000078	Moravská Třebová
Q1031200	Portland Timbers
Q103131	Erwin Hadewicz
Q10315	Real Sociedad
Q1031647	Willian Gomes de Siqueira
Q10319	Real Valladolid
Q1031994	Canada Gairdner International Award
Q1032	Niger
Q1032066	The Canadian Brass
Q1032594	Attila Hajdu
Q10329	Sevilla FC
Q1033	Nigeria
Q1033016	Halle Berry
Q10333	Valencia CF
Q1033423	Hamrníky
Q103360	Academy Award for Best Director
Q1033714	Jamil Fearrington
Q1033780	Miguel Comminges
Q1034160	Matías Rodrigo Pérez
Q1035067	Heisman Trophy
Q103569	Alien
Q1036	Uganda
Q103618	Academy Award for Best Actress
Q1036458	Carl Friedrich Gauss Medal
Q1037120	Hlineč
Q1037408	Carl Cort
Q1038440	Jeff VanderMeer
Q103876	Peter O'Toole
Q103894	Alec Guinness
Q103916	Academy Award for Best Actor
Q103928	
Q104000	Lauren Bacall
Q104037	Sampaloc
Q104044	San Andres
Q10407	Unión Deportiva Almería
Q104081	Mickey Rooney
Q104088	Elli Schmidt
Q104104	Andre Geim
Q1041885	Wallander
Q1042258	Carlo Mamo
Q1042385	Patrizio Balleello
Q1042552	Lajos Sătmăreanu
Q1042562	Giovanni Ballico
Q1042582	Daniele Balli
Q1042654	Costanzo Balleri
Q104266	Mel Brooks
Q1042916	Carlos Gaete Moggia
Q1043091	Carlos Muñoz
Q1043527	Multilateral Investment Guarantee Agency
Q104358	Billie Holiday
Q1043985	Carnegie Medal
Q1044160	Carol Cymbala
Q1044367	Luigi Balzarini
Q1044458	Antonio Balzano
Q1044616	Elvio Banchero
Q1044635	Bewitched
Q1044651	Vegalta Sendai
Q1044973	Gabriele Baraldi
Q1045	Somalia
Q1045524	Montedio Yamagata
Q1045811	FC Dordrecht
Q104587	Kyjov
Q1046009	Talgat Bigeldinov
Q1046023	Carus medal
Q1046309	Philharmonia Orchestra
Q1046367	Shandong Taishan F.C.
Q10467	FC Barcelona Atlètic
Q104680	colonel
Q1046939	Raith Rovers F.C.
Q104725	Płock
Q104731	Gorzów Wielkopolski
Q1047421	Casian Miclăuș
Q1047535	Kyoto Sanga FC
Q104761	Bayer 04 Leverkusen
Q104770	1. FC Köln
Q104807	Adolf Winkelmann
Q1048071	Cellule
Q1048856	All in the Family
Q1049	Sudan
Q1049036	Lewis Price
Q1049059	George Boyd
Q1049171	England national under-18 association football team
Q1049176	England national under-20 association football team
Q1049345	Casting Crowns
Q1049738	Condé-sur-Huisne
Q10499	Córdoba CF
Q1050331	Football Club Molenbeek Brussels Strombeek
Q10510	Jenson Button
Q1051013	Paris FC
Q105112	Swedish Social Democratic Party
Q10512	Elche CF
Q1051203	Qatar SC
Q1051238	Sagan Tosu
Q1051340	Nyíregyháza Spartacus FC
Q10520	David Beckham
Q1052219	Ceará Sporting Club
Q1052320	Takashi Yamazaki
Q105254	1. FSV Mainz 05
Q105269	Grandmaster
Q1052746	Valerio Mastandrea
Q105304	Academy Award for Best International Feature Film
Q1053324	Cemil Adıcan
Q1053450	RBC Roosendaal
Q1053786	Central Español
Q10543	Tommy Mooney
Q1054656	A Taxing Woman
Q1054915	Sergei Davydov
Q1054932	Kazuo Honma
Q1055195	Horní Luby
Q1055217	Horní Poříčí
Q1056060	Hoštice
Q1056237	Hugo Award for Best Related Work
Q1056240	Hugo Award for Best Dramatic Presentation, Long Form
Q1056251	Hugo Award for Best Short Story
Q1056265	Hugo Award for Best Novelette
Q1056316	Attila Hullám
Q1056376	Carmen
Q105682	Tom Felton
Q1056948	Al-Duhail SC
Q1056987	Sporting Toulon Var
Q10577	Tom Cleverley
Q105844	Arminia Bielefeld
Q105853	Karlsruher SC
Q1058558	Atur
Q105861	VfL Bochum
Q10592	Marcus Gayle
Q1059371	Blood Music
Q1059415	Clyde F.C.
Q1059587	Gary Glasgow
Q1059601	Cristian González Aidinovich
Q1059684	Vedran Celiščak
Q105991	Hermann Lindemann
Q10600	Ray Lewington
Q1060184	Mito HollyHock
Q1061225	James P. Hogan
Q1061233	L'Équipe Champion of Champions
Q1061541	A Prophet
Q1061615	Dalian Shide F.C.
Q1061627	FC Emmen
Q1061696	Ventforet Kofu
Q106182	X-Men
Q1062026	MTV Movie Award for Best Villain
Q1062107	Saint-Georges-de-Bohon
Q1062259	Yokohama FC
Q1062324	Les Perques
Q1062361	La Rochelle-Normande
Q1062399	Néville-sur-Mer
Q1062547	Szolnoki MÁV FC
Q106275	Juliette Binoche
Q106291	Academy Award for Best Supporting Actor
Q106301	Academy Award for Best Supporting Actress
Q1063390	László Raffinsky
Q1063597	Fervaches
Q106367	Peter Walter
Q1063708	Les Chéris
Q106383	Isabelle Adjani
Q106394	SC Freiburg
Q106482	Philippe Noiret
Q1065	United Nations
Q10652	Alex Salmond
Q1065351	Souleymane Coulibaly
Q106547	Paul Lauterbur
Q106624	Ahmed Zewail
Q10664	Neville Chamberlain
Q106648	Fleetwood Mac
Q106669	Claude Sautet
Q1066966	Charlie Oatway
Q106756	James B. Sumner
Q1067750	Real Sociedad B
Q106807	Magnus Carlsen
Q1068952	St. Elsewhere
Q1069091	Tochigi SC
Q1069108	Igor José Marigo de Castro
Q1069619	Saint-Herblon
Q1069740	Cerezo Fung a Wing
Q10699374	Tollander Award
Q1069960	Chengdu Tiancheng F.C.
Q106997	Jamie Lee Curtis
Q10707	Robert Mugabe
Q107071	Bartholomäus Kalb
Q1070770	Remy Shand
Q1071060	Juary
Q1071079	André Luiz Rodrigues Lopes
Q10711	Manuel Almunia
Q1071169	Rhinestone
Q1071457	Ferrières
Q1071702	Saint-Pierre-du-Mesnil
Q1071713	SC Telstar
Q1071986	Chicago Stars FC
Q1072375	Sainte-Marguerite-de-l'Autel
Q10727	Steve Leo Beleck
Q1072779	Saint-Aubin-le-Guichard
Q10732	Daniel Pudil
Q10733	Prince Buaben
Q1073490	Saint-Amand-des-Hautes-Terres
Q1074152	Manthelon
Q107421	VfB Stuttgart II
Q1074469	Fontaine-Heudebourg
Q107462	Har Gobind Khorana
Q1075157	Chleny
Q107538	Baco
Q1075407	Chlum
Q1075434	Chlumy
Q1075444	Chlumčany
Q1075447	Chlumětín
Q1075913	2010–2012 Haiti cholera outbreak
Q1075989	Choltice
Q107609	Christiaan Eijkman
Q10762848	Officer of the Order of the British Empire
Q1076352	Manuel Coppola
Q10764	Jonathan Bond
Q107649	Christian Becker
Q1076699	Chotiněves
Q1076731	Chotěšice
Q1076738	Chotěšov
Q1076854	Chožov
Q1076962	Chris Hadfield
Q1077200	Saint-Laurent-des-Bâtons
Q1077393	Chris Kamara
Q1077851	Chris Whyte
Q107818	FC Energie Cottbus
Q1078924	Christian Bauer
Q1079038	Christian Brand
Q1079183	Christian Claaßen
Q1079195	Christian Clemens
Q1079204	Christian Clemenson
Q1079453	Christian Erwig
Q10796	Jean-Alain Fanchone
Q107989	Roderich Kiesewetter
Q1079931	Luca Fusco
Q108088	Herfried Münkler
Q1081539	Christian Reimann
Q1081566	Christian Richter
Q1081770	Christian Schmölzer
Q108199	Tatiana Melamed
Q1083191	Christina Julien
Q1083205	Christina Lehmann
Q10833314	tennis player
Q1083645	Diego Vera
Q1084215	Hristo Yovov
Q1084695	Christoph Cemernjak
Q108491	Marijan Kovačević
Q108525	The Untouchables
Q1085348	Christoph Kramer
Q10855195	Officer of the Legion of Honour
Q10855212	Commander of the Legion of Honour
Q10855216	Grand Officer of the Legion of Honour
Q10855226	Grand Cross of the Legion of Honour
Q10855271	Knight of the Legion of Honour
Q108560	A. R. Rahman
Q1085752	Christoph Sauter
Q1086189	Nebula Award for Best Novella
Q1086351	East Brunswick
Q1086386	Christophe Prémont
Q1086492	Christopher Avevor
Q1086554	Woodstown
Q1086666	Filippo Maniero
Q108672	Dąbrowa Górnicza
Q1087152	Christos Papoutsis
Q10875	Laura Bassett
Q10878	Dunia Susi
Q1088392	Chroustov
Q1088428	Tři Sekery
Q1088434	Pohorovice
Q1088448	Odrava
Q1088479	Kaii Konishi
Q108866	Borden County
Q1089322	Chudoslavice
Q108935	Mary Steenburgen
Q108957	Crockett County
Q108986	Soufian Benyamina
Q1090117	Chvalovice
Q1090156	Chvalšiny
Q1090200	Chylice
Q10905	Eniola Aluko
Q10905334	Officer's Cross of the Order of Merit of the Federal Republic of Germany
Q10905380	Cross of the Order of Merit of the Federal Republic of Germany
Q109063	Jimmy Cliff
Q1090783	Delfo Bellini
Q1091130	Egutu Oliseh
Q1091181	Chřibská
Q1091355	Paul Stewart
Q1091521	Carlos Andrade Souza
Q1091577	Salvatore Fresi
Q1091716	Cidimar
Q109209	Loving County
Q1092098	Giuseppe Zappella
Q1092185	Kazunori Iio
Q1092271	Marc Tierney
Q1092276	Francisco Fernández
Q1092287	Florian Myrtaj
Q1092336	Cindy Tsai
Q1092577	Maikel Hermann
Q109324	Christopher Lloyd
Q1093420	Federico Nieto
Q1093570	Gianluca Freddi
Q1094255	Sergei Barsukov
Q1094814	Craig Noone
Q1094839	Koi... Mil Gaya
Q1095070	La Haute-Chapelle
Q1095158	Bivilliers
Q1095777	Gémages
Q1095803	Champs
Q109612	Thelonious Monk
Q1096356	Ilija Radović
Q1096496	Claude Bartolone
Q1096685	Leonid Beda
Q109717	Niclas Huschenbeth
Q109780	George Elokobi
Q1097969	Glos-la-Ferrière
Q1098261	Claudiu Niculescu
Q1098383	Claus-Dieter Wollitz
Q109847	Günther Wilke
Q1098631	Ivan Radoš
Q109975	Fisher County
Q1099987	Clemens J. Setz
Q1100431	Rodney Sneijder
Q1100437	Burguillos del Cerro
Q110053	Mats Hummels
Q1100670	Pré-en-Pail
Q1100808	Jindřichov
Q110101	Edward Calvin Kendall
Q1101616	Josh Payne
Q1101626	Clint Mathis
Q1101754	Amos Mariani
Q110203	Collateral
Q1102716	Blažej Vaščák
Q1102935	Club Almagro
Q1103221	Kadov
Q1103390	La Daguenière
Q1103598	Červená
Q11036	The Rolling Stones
Q1104123	La Fosse-de-Tigné
Q1104700	Kamianets-Podilskyi Raion
Q1105322	Jesper Bech
Q1105338	Marc Nygaard
Q1106038	Nights on the Road
Q1106484	József Keller
Q110719	
Q110740	Martin Ostwald
Q110764	King County
Q1107661	Les Clouzeaux
Q1108058	Abdullah Matay
Q1108579	Colin McNab
Q1108592	Colin Murdock
Q1109530	Petra Movsesjanová
Q1110334	Ljubo Miličević
Q1110389	Dalías
Q111050	Kacper Przybyłko
Q111074	John Barry
Q1110918	Ezkio-Itsaso
Q1110944	England national association football B team
Q1111228	Color of Night
Q1111339	Diego Pellegrini
Q1112362	Cold Squad
Q1113094	Zambrana
Q1113146	Alan Taylor
Q1113771	Aristide Griffith
Q1113802	Klest
Q1113874	Olivier Renard
Q11144	Associate Justice of the Supreme Court of the United States
Q1114935	Elio Gustinetti
Q1115694	Miloš Trifunović
Q1115758	Sobíšky
Q1115909	Tatobity
Q1116148	Castellnou de Seana
Q111645	Vahan Gevorgyan
Q1116829	Vilafamés
Q1116991	Five Easy Pieces
Q1117390	Stockard Channing
Q1117394	Italo Romagnoli
Q111766	Wheeler County
Q1117996	Michel Kaham
Q111805	Arthur Văitoianu
Q1118080	László Komódi
Q1118410	Agostino De Nardi
Q1118463	Henning Bürger
Q1118798	Paulo Vinícius de Souza Nascimento
Q1118818	Andrėjus Tereškinas
Q1119019	Francisco Javier Luke
Q1119196	Gábor Korolovszky
Q11194	Sarajevo
Q11200	L'Armentera
Q1120060	Tendilla
Q1120226	János Kovács
Q1120838	Como 1907
Q1122331	Staré Hobzí
Q112243	Academy Award for Best Original Song
Q1122531	Matías Abelairas
Q11232	Bàscara
Q1123222	Laura Rus
Q1123793	Dolní Bezděkov
Q11238	Boadella i les Escaules
Q1124093	Mehrdad Minavand
Q11242	Borrassà
Q1124532	Junior Seau
Q1124693	Benbella Benmiloud
Q1124841	PFC Lokomotiv Plovdiv
Q1124934	Robert Markuš
Q1124971	Eric de Oliveira
Q1124998	Giessenlanden
Q1125283	Walter Abbott
Q1125339	Kněževes
Q1125383	Antonio Pappano
Q11257	Cabanes
Q1126713	
Q1126876	Křižovatka
Q1127498	Elazığspor
Q112756	Veit Heiduschka
Q1128086	Constantinos Makrides
Q1128303	Delko Marseille Provence
Q1128487	Lažánky
Q1128609	Spiel des Jahres
Q1128631	Leeds United F.C.
Q1128750	Crazy Heart
Q1129059	Unión Española
Q11291	Cistella
Q1129177	Leo Carle
Q1129186	Control
Q1129595	Spain national under-21 association football team
Q113000	KV Mechelen
Q1130084	The Hustler
Q1130244	Caracas Fútbol Club
Q1130346	Norbert Lipusz
Q1130457	Gerasimov Institute of Cinematography
Q11305	John Gaeta
Q1130570	Bnei Sakhnin F.C.
Q113080	Villar del Olmo
Q113081	Walter Munk
Q1130849	Liverpool F.C.
Q113090	Julius von Hann
Q113110	All Saints
Q1131189	Liverpool F.C. (Montevideo)
Q11313	John Knoll
Q1131356	Theatre World Award
Q113136	Germany national under-15 football team
Q1131539	
Q1131690	Saliou Lassissi
Q1131732	Serbia and Montenegro national football team
Q1132535	Little Big Man
Q1132636	Serbian Academy of Sciences and Arts
Q1132718	Kamil Król
Q11329	Garrigàs
Q1133148	Valle de Yerri / Deierri
Q11334	Lladó
Q1133475	Guarani Futebol Clube
Q1133768	Heath Bell
Q1133772	Napoleon Dynamite
Q1134799	Elizabeth Sarnoff
Q113530	Christof Zernatto
Q1135510	Joseph Dayo Oshadogan
Q113554	Barry N. Malzberg
Q1135628	Lawrence Akandu
Q1135981	Cosby
Q1136016	Cosenza Calcio
Q1136416	Michael Javier Ortega
Q1136626	Cothenius Medal
Q1136788	Fabrizio Di Mauro
Q1137835	Villeneuve-Saint-Nicolas
Q1137993	FK Radnički Niš
Q1138038	Živojin Mišić
Q113841	Bekim Balaj
Q1138412	Hairuddin Omar
Q1138625	Poppoya
Q1138717	Jasmin Agić
Q1139258	Sandro Hiroshi
Q1139454	The Straight Story
Q1139564	Rob Elliot
Q1139785	Saint George's Cross
Q1139956	Shenzhen F.C.
Q1140076	IK Brage
Q1140209	Goran Jurić
Q1140257	The Messenger: The Story of Joan of Arc
Q1140277	Cristian Bucchi
Q1140306	Cristian Maidana
Q1140321	Cristian Ramírez
Q1140359	Cristiano Del Grosso
Q1140533	South China AA
Q1140593	Newsday
Q1140595	FK Obilić
Q1140715	Søren Gyldendal Prize
Q114125	Rogério Gaúcho
Q11415564	honorary doctorate
Q1142326	Seine
Q1142358	Lebanon
Q1142701	Theil-sur-Vanne
Q1142761	Jakucho Setouchi
Q1143000	Club Universidad Nacional
Q1143949	Irkutsk Governorate
Q1143971	Lasserre
Q1144624	Family Ties
Q1145090	Matej Pučko
Q1145484	Miguel Sebastián Garcia
Q1145764	Guiding Light
Q1145958	Kristoffer Björklund
Q1146166	Saint-Maurice-de-Tavernole
Q1146402	Le Breuil-sous-Argenton
Q1146578	UEFA Team of the Year
Q1146623	Alexander Scholz
Q1146823	Theo Lewis Weeks
Q1146861	Cy Coleman
Q1146868	Karim Fachtali
Q1148796	Cyrille Florent Bella
Q11492669	AaB Fodbold
Q1150306	Disney Legends
Q1150569	Rich Sommer
Q1150652	Saint-Pierre-d'Allevard
Q1150850	Císařov
Q11509	Xanana Gusmão
Q1151221	Shogo Kobara
Q115173	Junior Ross
Q1152083	Luigi Pasetti
Q1152147	Igor Udaly
Q115243	Amin Maalouf
Q1152824	Jon Ludvig Hammer
Q1152913	DECHEMA Medal
Q1152925	James E. Gunn
Q1153183	Andrea Silenzi
Q115483	Max Frisch
Q115484	Garde à Vue
Q1155113	DRG Class 86
Q115541	Dakota Fanning
Q1155695	The Grandmaster
Q1156892	The Eel
Q11571	Cristiano Ronaldo
Q1157385	L'Épinay-le-Comte
Q1157668	Calzadilla de los Barros
Q1157890	Dalešice
Q1157985	Arboleas
Q1158072	Dalovice
Q115843	Bruno Berner
Q11585	Tulcea
Q1158583	Damián Ísmodes
Q1158826	Marco Osio
Q1158951	Dan David Prize
Q1159036	Provenchères-sur-Fave
Q1159157	Dan Sahlin
Q11593	The Last Airbender
Q1159694	Massimo Brambati
Q11598	Arrested Development
Q1159921	Daniel Andersson
Q116	monarch
Q1160005	The Birdcage
Q1160125	István Láng
Q1160301	Daniel Cartus
Q1160387	Daniel Cámpora
Q11605748	Medal with Purple Ribbon
Q116067	Philipp Degen
Q1160880	Santiago Ladino
Q1160925	Daniel Graf
Q1161006	Daniel Habesohn
Q1161279	Daniel Jungwirth
Q1161285	Daniel Jurgeleit
Q11613	Harry S. Truman
Q1161457	Daniel Kutermak
Q1161529	Daniel Lemos
Q1161584	Daniel Lins Côrtes
Q116161	Jarkko Hurme
Q1162163	director
Q1162277	Hungary national under-17 football team
Q1162299	Daniel Reule
Q1162629	Daniel Schumann
Q1162895	Daniel Teixeira
Q116308	Renato Berta
Q1163250	La Jumellière
Q1163325	Gené
Q1163691	Fearnley award
Q1163988	Danijel Gatarić
Q11641	Grace Hopper
Q1164122	Cossé-d'Anjou
Q1164131	Danique Stein
Q1164334	DR
Q1164475	Dannie Heineman Prize for Mathematical Physics
Q116459	Sébastien Grégori
Q1164621	Touffreville-la-Cable
Q1165133	Maria Friedman
Q1165305	Eye of the Tiger
Q1165377	Saint-Martin-en-Campagne
Q1165970	Dario Venitucci
Q116602	Carlos Sánchez
Q1166022	Dariusz Adamczuk
Q1166039	Dariusz Gęsior
Q1166281	Darko Horvat
Q116650	Hugo Gatti
Q1167085	Gouchaupre
Q116845	Silver Linings Playbook
Q116928	The Twilight Saga: New Moon
Q116946	Dominic Imhof
Q1169568	Kings and Queen
Q1169573	Sid L'Mokhtar
Q1169780	Aldo Cevenini
Q1169823	Rosemary
Q11699	Vice President of the United States
Q116994	Dusan Djurić
Q1169942	Close to Eden
Q116995	Charles Dutoit
Q117008	Michael Grätzel
Q1170125	Ouzouer-le-Marché
Q1170154	Jutta Dresken-Weiland
Q1170293	Vladimir Raičević
Q1170569	Guido Onor
Q1171154	An Impudent Girl
Q1171908	Daskabát
Q1172065	Cinzio Scagliotti
Q117249	Robbie Robertson
Q1172581	Mihajlo Pjanović
Q1172767	Notre-Dame-de-Gravenchon
Q1173076	Tom Craddock
Q1173676	David Baulcombe
Q1173787	David Botstein
Q1173960	David Cerrajería
Q1174395	David Fall
Q1174510	Gonzalo Quesada
Q1174865	David Jansen
Q1175443	David Maclean
Q1175594	David McCreery
Q1175673	David Milch
Q1176144	David Pizanti
Q1176809	David Tanner
Q1176859	David Tilman
Q117696	Remember the Titans
Q1177327	David Zitelli
Q1177329	David Zoubek
Q1178120	Davis Curiale
Q1178277	Davor Landeka
Q1178296	Davorin Kablar
Q1179359	Daňkovice
Q1179827	Phil Parkes
Q1179930	De Gyldne Laurbær
Q117995	Phyllis Logan
Q1181083	Dean Heffernan
Q1181137	Dean Sturridge
Q1181531	Deblín
Q1181574	Deborah S. Jin
Q1183416	Santovenia
Q1183480	Dejan Kelhar
Q1183949	Měkynec
Q118404	Geschwister-Scholl-Preis
Q118410	Michael Spies
Q118498	Racing 92
Q1185034	Velký Rybník
Q1185079	Kosuke Kimura
Q1185391	Emerson Ramos Borges
Q1185419	Bruma
Q1185473	Kenichiro Tokura
Q1185480	Fabiano Cezar Viegas
Q1185606	Demidov Prize
Q1185635	Marcelo Miguel
Q1185866	Bernard Allou
Q11865	Saus, Camallera i Llampaies
Q11869	William Henry Harrison
Q1187790	Argentina national under-20 football team
Q1188660	Jean-Claude Mignon
Q1189026	Dennis Cagara
Q1189509	Isaac Boakye
Q1189661	Jalal Hosseini
Q1190421	Amad Al Hosni
Q1190617	Sean Murdoch
Q1190714	Jamie Mackie
Q1191198	Ding Liren
Q1191497	Nicolás Bertolo
Q1192340	Guangzhou City F.C.
Q1192574	Qingdao Hainiu F.C.
Q1192987	Kristijan Dobras
Q11930	Kevin Costner
Q11931	Tim Matavž
Q1193223	Nikola Vujadinović
Q11938	PSV Eindhoven
Q119383	Petra Feibert
Q1194455	Vojtanov
Q1194504	Vlkovice
Q11946	Menno Koch
Q11949	Dick Advocaat
Q11954	Dries Mertens
Q11955	Club Deportivo Guadalajara
Q1195647	FC Progresul București
Q11961	Heracles Almelo
Q11963	Hércules CF
Q119677	AP NFL Offensive Player of the Year Award
Q1197	Lower Saxony
Q11971	Sociedad Deportiva Huesca
Q11975	Britney Spears
Q11979	UD Las Palmas
Q11984	Club Deportivo Lugo
Q1198779	Górnik Łęczna
Q1198939	GKS Tychy
Q11993519	Olavstatuetten
Q1199965	Dukla Prague
Q1201375	Detlev Szymanek
Q1201992	Germany national football Α2 team
Q1202757	Germany Olympic football team
Q1202759	Germany national under-16 football team
Q1202762	Germany women's national under-17 association football team
Q1202764	Germany women's national under-19 football team
Q1202768	Germany national under-23 football team
Q1202771	Germany national amateur football team
Q12028	Teià
Q120415	Reiner Plaßhenrich
Q120453	Muruzábal
Q1204812	German Film Award for Best Direction
Q1204829	German Film Award for Best Children’s Film
Q1204831	German Film Award for Best Feature Film
Q12071	Vilassar de Mar
Q1207229	Dexter Blackstock
Q1208086	A.R. Monex Women's Pro Cycling Team
Q1208375	Hiroshi Nanami
Q1209	Bremen
Q1209571	President of the Philippines
Q1210161	Dickson Prize in Medicine
Q1210530	Didier Couécou
Q1210567	Didier Patalin
Q12156	malaria
Q12158	Club Deportivo Numancia de Soria
Q121594	professor
Q1216393	József Nemes
Q12173	Vilanant
Q12175	Manx
Q121800	Ador
Q1218115	Nikon El Maestro
Q1218393	Marco Aurélio de Oliveira
Q1220392	Diego Camacho Quesada
Q1220489	Diego León
Q1220529	Norbert Némedi
Q1220573	Diego Viana
Q1220623	Diego Ângelo de Oliveira
Q1221531	Heinz Libuda
Q12217	Real Madrid Castilla
Q1222663	Dieter Ramusch
Q1222692	Dieter Riegler
Q12230	Real Murcia
Q122300	Frederic Löhe
Q12236	Racing de Santander
Q122362	Dietmar Kienast
Q12240	Campelles
Q12249	Recreativo de Huelva
Q1225004	Mithat Yaşar
Q122505	Urs Güntensperger
Q12251	Gombrèn
Q1225624	Gianni Letta
Q1226075	Dimitry Imbongo
Q1226580	Dinmukhamed Konayev
Q1227189	Zaratamo
Q1227369	Dirac Prize
Q12275	Les Llosses
Q1227761	Mendexa
Q1227790	Dirk Bremser
Q12278	Sporting de Gijón
Q1227932	Ubide
Q1227941	Ispaster
Q1228030	Errigoiti
Q1228054	Dirk Schlegel
Q1228105	Dirk Topolewski
Q1228441	Olèrdola
Q12285	Ogassa
Q1228543	Sant Jaume dels Domenys
Q1228602	Alfara
Q1228749	Sopuerta
Q122887	Rainer Schütterle
Q1228889	Fuentidueña de Tajo
Q122905	Zózimo
Q1229275	Pontons
Q1229283	L'Espluga de Francolí
Q1229298	Camarles
Q1229335	Gyula Pap
Q1229681	Vinyols i els Arcs
Q12297	Villarreal CF
Q1229782	Tomáš Okleštěk
Q1230086	Bellvei
Q123022	Felix Bloch
Q123026	Charles Édouard Guillaume
Q12308	Xerez C.D.
Q1230954	Gary Peters
Q1231311	L'Argentera
Q1232161	Kiprian Berbatov
Q1232342	Dlouhomilov
Q1232360	Dlouhá Loučka
Q1232363	Dlouhé
Q1232768	Dmitry Andreikin
Q12330	Ribes de Freser
